"","Overall"
"cat_cool3",0.0381848310761269
"cat_fuel_cook4",0.131330081068639
"cat_fuel_heat3",0.0483090051947435
"cat_fuel_heat4",0.213737952119827
"cat_fuel_heat5",0.0731334134720651
"cat_hus_dir_fce4",0.135695471876049
"cat_loc_div3",0.184294161305687
"cat_mhh_occu2",0.022757163367391
"cat_mhh_occu3",0.0249612614615363
"cat_mhh_occu4",0.0364867654773036
"cat_mhh_occu5",0.278958313824232
"num_bat",0.179616671079816
"num_bed",0.152288289555395
"num_flr",0.0394268758938342
"num_hh_ann_incm",0.146892790118589
"num_hus_ar",0.323173834874459
"num_hus_mems",0.340727964138722
"num_out_wds",0.399072596070225
"num_out_wls",0.0238954240975891
"cat_loc_div2",0
"cat_sz_cty2",0
"cat_hus_typ2",0
"cat_hus_typ3",0
"cat_hus_dir_fce2",0
"cat_hus_dir_fce3",0
"num_hus_blt_yr",0
"num_liv",0
"cat_fuel_heat2",0
"cat_cool2",0
"cat_fuel_cook5",0
"num_mhh_age",0
