,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
0,HH13110253,HS1101000001,1,1,3,9,2,1,4,125.4,4,1,2,14,1,3,5,5,2,1,6,15554.885
1,HH14110055,HS1101000004,1,1,2,1,5,3,3,158.4,3,1,1,15,1,3,5,4,2,1,3,14201.24
2,HH14110057,HS1101000007,1,1,1,1,5,2,3,62.7,3,1,1,10,1,3,5,1,2,5,3,13970.908639
3,HH17110001,HS1101000009,1,1,1,1,4,2,6,132.0,3,1,2,11,1,3,5,3,2,5,5,5932.0975
4,HH18110236,HS1101000011,1,1,2,3,4,2,5,99.0,3,1,2,14,1,3,5,3,2,1,4,22726.588313
5,HH18110122,HS1101000012,1,1,1,1,5,2,3,112.2,3,1,2,16,1,3,5,4,2,1,7,14151.41
6,HH18110119,HS1101000013,1,1,1,1,4,1,3,99.0,3,1,2,14,1,3,5,2,3,5,3,13754.994557
7,HH13110255,HS1102000001,1,1,2,2,5,2,4,99.0,2,1,1,10,1,3,5,4,2,1,7,7360.5185
8,HH11110023,HS1102000003,1,1,1,1,6,1,2,122.1,4,1,2,8,1,3,5,5,2,3,2,15254.70714
9,HH13110257,HS1102000004,1,1,1,1,5,2,2,102.3,2,1,1,14,1,3,5,2,3,5,1,15925.4987
10,HH18110114,HS1102000006,1,1,3,19,3,3,5,112.2,3,1,2,20,1,2,5,4,3,3,7,13590.8312
11,HH13110233,HS1103000001,1,1,3,1,4,2,4,112.2,3,1,2,14,1,3,5,6,2,4,6,16894.46
12,HH11110021,HS1103000005,1,1,1,1,5,1,2,125.4,4,1,2,13,1,3,5,4,2,1,5,22120.58
13,HH11110022,HS1103000007,1,1,1,1,5,3,3,85.8,3,1,1,13,1,3,5,2,3,3,1,20787.86
14,HH13110234,HS1103000008,1,1,3,17,3,2,4,82.5,3,1,1,12,3,3,5,4,2,1,4,9292.2285331
15,HH17110004,HS1103000012,1,1,2,3,4,1,4,66.0,2,1,1,13,1,3,5,2,2,1,7,5794.2628737
16,HH18110063,HS1103000019,1,1,2,3,3,3,4,99.0,3,1,1,10,1,3,5,4,3,3,7,22152.58
17,HH18110005,HS1103000020,1,1,1,1,5,2,4,99.0,3,1,2,10,1,3,5,4,2,1,6,19748.78
18,HH18110008,HS1103000021,1,1,1,1,4,1,4,82.5,3,1,1,24,1,3,4,2,2,3,4,9709.48
19,HH18110015,HS1103000022,1,1,1,1,4,1,4,89.1,3,1,1,10,1,1,5,2,3,3,2,19938.34
20,HH18110208,HS1103000023,1,1,2,2,3,2,6,59.4,3,1,1,9,1,3,5,2,2,1,4,9780.12
21,HH18110040,HS1104000019,1,1,1,2,5,3,4,69.3,3,1,1,18,1,3,5,4,2,1,5,14033.759
22,HH18110045,HS1104000020,1,1,1,1,5,3,5,99.0,3,1,2,18,1,3,5,4,2,1,6,12470.018
23,HH18110200,HS1104000021,1,1,2,4,5,2,5,82.5,3,1,2,17,1,3,4,4,2,1,6,10683.477564
24,HH18110052,HS1104000022,1,1,1,2,4,1,5,66.0,2,1,1,20,1,3,5,5,2,1,5,12462.7293
25,HH18110036,HS1104000023,1,1,2,0,4,3,5,66.0,2,1,1,2,1,1,4,4,2,1,5,9648.8453567
26,HH18110056,HS1104000024,1,1,1,2,4,1,4,49.5,3,1,1,12,1,3,5,3,2,1,4,10242.7415
27,HH18110081,HS1104000025,1,1,1,2,4,3,4,66.0,2,1,1,13,1,3,5,3,2,2,4,3671.4255632
28,HH18110202,HS1104000026,1,1,3,4,2,2,5,79.2,2,1,1,10,1,3,4,2,2,1,5,11548.548692
29,HH18110124,HS1104000027,1,1,1,1,5,1,4,105.6,3,1,2,12,1,3,5,3,2,1,7,12150.083201
30,HH18110201,HS1104000028,1,1,2,3,4,2,4,42.9,2,1,1,8,1,1,4,3,2,1,6,5773.819902
31,HH18110018,HS1104000029,1,1,3,1,3,4,6,82.5,3,1,2,12,1,3,5,5,2,3,5,16055.86
32,HH18110118,HS1105000021,1,1,2,0,4,2,4,82.5,3,1,2,10,1,3,5,4,2,1,7,12843.97
33,HH18110120,HS1105000022,1,1,1,2,5,1,5,132.0,4,1,1,7,1,3,4,4,2,3,6,16174.85
34,HH18110121,HS1105000023,1,1,2,5,4,3,3,132.0,3,1,2,20,1,3,5,4,2,1,7,12011.020293
35,HH18110126,HS1105000024,1,1,2,0,5,4,4,69.3,2,1,1,13,1,3,5,4,2,1,5,11071.28
36,HH18110128,HS1105000025,1,1,2,4,3,2,5,66.0,2,1,1,13,1,3,4,4,2,4,7,15115.2855
37,HH18110130,HS1105000026,1,1,2,2,3,1,3,122.1,3,1,2,16,1,3,5,4,2,3,6,14235.60714
38,HH18110003,HS1105000027,1,1,1,1,6,1,2,92.4,4,1,1,16,1,3,5,2,3,1,5,4963.9939279
39,HH18110006,HS1105000028,1,1,1,2,5,2,4,46.2,2,1,1,12,1,3,5,4,2,1,4,12437.65
40,HH18110009,HS1105000029,1,1,1,2,5,3,4,59.4,3,1,1,18,1,3,4,6,2,4,4,13085.5977
41,HH18110012,HS1105000030,1,1,1,1,4,3,2,52.8,2,1,1,13,1,3,5,4,2,3,6,7051.034
42,HH18110023,HS1105000031,1,1,1,0,4,1,3,132.0,2,1,1,8,1,1,4,2,3,5,3,9964.78
43,HH18110026,HS1105000032,1,1,2,3,4,1,4,92.4,4,1,2,18,1,3,5,4,2,3,6,42951.25
44,HH18110030,HS1105000033,1,1,2,4,3,2,6,105.6,3,1,1,7,1,3,5,3,2,1,4,8822.6732201
45,HH18110034,HS1105000034,1,1,3,6,5,2,6,75.9,3,1,2,16,1,3,4,3,2,1,5,10240.028104
