"cat_loc_div","cat_sz_cty","cat_hus_typ","num_flr","num_out_wls","cat_hus_dir_fce","num_hus_blt_yr","num_hus_ar","num_bed","num_liv","num_bat","num_out_wds","cat_fuel_heat","cat_cool","cat_fuel_cook","num_hus_mems","cat_mhh_occu","num_tot_energy_heat","num_mhh_age","num_hh_ann_incm"
"1","1","3",9,4,"1",5,125.4,4,1,2,12,"1","3","4",5,"1",14787.63,45,4.2e+07
"1","1","2",2,4,"3",5,99,3,1,2,20,"1","3","4",3,"3",15669.59,55,6.6e+07
"1","1","1",1,6,"1",4,105.6,3,1,1,10,"1","3","4",4,"1",10811.38438,55,1.2e+07
"1","1","2",1,6,"3",3,158.4,3,1,1,15,"1","3","4",4,"1",9699.294732,45,2.5e+07
"1","1","1",1,6,"1",6,148.5,4,1,2,8,"1","3","5",4,"1",16089.62,55,6.6e+07
"1","1","1",1,5,"2",3,62.7,3,1,1,10,"1","3","4",3,"1",11562.12032,55,5.4e+07
"1","1","2",2,5,"2",4,99,2,1,1,10,"1","3","4",4,"3",15608.88,55,4.2e+07
"1","1","3",11,4,"3",4,112.2,3,1,1,18,"1","1","4",4,"1",12356.08,35,7.8e+07
"1","1","1",1,5,"1",2,122.1,4,1,2,5,"1","3","4",3,"5",12259.73,67,5.4e+07
"1","1","1",1,6,"1",2,102.3,2,1,1,7,"1","3","4",2,"5",16839.22,67,4.2e+07
"1","1","1",1,5,"1",1,79.2,4,1,2,6,"1","3","4",6,"3",10880.47,55,2.5e+07
"1","1","1",2,4,"2",3,82.5,3,1,2,8,"1","1","4",1,"5",8204.43,67,1.2e+07
"1","1","1",2,5,"2",4,75.9,3,1,2,8,"1","3","4",5,"1",16488.71,45,1.8e+07
"1","1","1",1,5,"2",4,75.9,3,1,2,8,"1","1","4",1,"5",3343.429607,67,1.2e+07
"1","1","1",1,5,"2",3,59.4,2,1,1,8,"1","1","4",3,"3",8357.52,67,2.5e+07
"1","1","3",17,3,"1",4,82.5,3,1,1,10,"3","3","4",4,"1",9882.429281,45,4.2e+07
"1","1","1",2,5,"4",4,89.1,3,1,1,10,"1","3","4",3,"1",10239.36826,35,5.4e+07
"1","1","1",1,5,"4",4,85.8,3,1,1,8,"1","3","4",3,"5",9296.089663,67,1.2e+07
"1","1","1",2,5,"2",4,85.8,3,1,1,10,"1","3","4",3,"1",14319.28955,35,4.2e+07
"1","1","1",1,5,"1",4,59.4,2,1,1,7,"1","3","4",1,"1",8084.46,35,4.2e+07
"1","1","1",1,5,"2",4,79.2,3,1,1,8,"1","3","4",3,"1",12624.18,45,4.2e+07
"1","1","1",2,5,"1",1,92.4,4,1,1,10,"1","3","4",4,"5",6851.06485,55,1.2e+07
"1","1","1",1,5,"4",4,99,3,1,1,4,"1","3","4",2,"5",13120.9,55,4.2e+07
"1","1","1",2,5,"2",3,92.4,3,1,1,10,"1","1","4",4,"5",13017.58755,55,1.8e+07
"1","1","3",2,3,"4",5,79.2,3,1,1,8,"1","3","4",3,"1",10782.44689,55,5.4e+07
"1","1","2",1,6,"2",2,79.2,3,1,1,4,"1","3","4",3,"2",12552.32,67,6.6e+07
"1","1","1",2,4,"2",4,75.9,3,1,1,16,"1","3","4",3,"1",12346.4,45,4.2e+07
"1","1","3",23,5,"1",5,108.9,3,1,2,10,"1","3","4",4,"1",18127.45079,45,7.8e+07
"1","1","1",2,5,"2",3,66,3,1,1,8,"1","3","4",5,"1",10583.66633,45,4.2e+07
"1","1","3",10,2,"3",5,108.9,3,1,2,12,"1","3","4",4,"1",4337.936703,45,6.6e+07
"1","1","3",3,2,"1",4,72.6,2,1,1,10,"1","3","4",4,"3",6565.502151,45,7.8e+07
"1","1","3",7,4,"1",5,105.6,3,1,2,12,"1","3","4",3,"1",13008.47434,35,4.2e+07
"1","1","1",1,5,"1",1,85.8,3,1,2,8,"2","1","3",1,"1",10384.63,35,1.8e+07
"1","1","1",1,5,"3",2,72.6,3,1,2,10,"2","3","3",1,"1",13253.23,45,2.5e+07
"1","1","1",1,5,"3",1,42.9,1,1,1,2,"2","3","3",2,"1",10534.85,35,4.2e+07
"1","1","3",14,4,"2",6,95.7,3,1,2,16,"1","3","4",4,"1",10612.97524,35,5.4e+07
"1","1","3",7,2,"1",5,108.9,3,1,2,12,"1","3","4",3,"1",14822.23,55,5.4e+07
"1","1","3",25,2,"1",5,49.5,2,1,1,7,"1","3","4",4,"1",4885.697622,45,4.2e+07
"1","1","3",3,4,"1",5,108.9,3,1,2,10,"1","3","4",4,"1",9945.359032,45,4.2e+07
"1","1","3",10,2,"1",4,75.9,3,1,1,10,"1","3","4",4,"1",10776.87942,45,5.4e+07
"1","1","3",3,4,"2",5,105.6,3,1,2,10,"1","3","4",3,"1",8764.031529,35,5.4e+07
"1","1","2",2,4,"4",4,66,2,1,1,6,"1","3","4",4,"1",11257.23503,45,1.8e+07
"1","1","3",6,2,"3",5,102.3,3,1,2,10,"1","3","4",3,"1",11121.29,35,4.2e+07
"1","1","3",3,4,"3",6,108.9,3,1,2,10,"1","1","4",3,"1",14153.23635,45,4.2e+07
"1","1","3",11,4,"4",5,82.5,3,1,1,10,"1","3","4",4,"1",18933.45599,55,7.8e+07
"1","1","3",14,4,"1",5,108.9,3,1,2,12,"1","3","4",4,"4",9577.26,45,4.2e+07
"1","1","3",8,2,"1",5,151.8,4,1,2,18,"1","1","4",4,"1",13832.34901,45,2.5e+07
"1","1","3",20,3,"1",5,145.2,4,1,2,20,"1","1","4",2,"3",5229.772196,67,5.4e+07
"1","1","1",1,5,"2",3,148.5,4,1,2,11,"1","3","4",4,"1",11775.88,45,5.4e+07
"1","1","3",3,3,"3",5,102.3,3,1,2,10,"1","3","4",4,"1",12413.67,45,6.6e+07
"1","1","1",1,6,"1",2,56.1,2,1,1,6,"1","3","4",4,"1",4948.027732,35,2.5e+07
"1","1","2",2,3,"4",5,56.1,2,1,1,7,"1","3","4",3,"5",11613.407,55,2.5e+07
"1","1","1",2,3,"4",5,69.3,2,1,1,8,"1","3","4",4,"5",6919.078766,67,1.8e+07
"1","1","1",1,5,"3",1,125.4,4,1,2,6,"2","3","3",1,"1",16843.85,67,4.2e+07
"1","1","3",6,2,"2",4,79.2,3,1,1,8,"1","3","4",3,"3",5554.117082,35,5.4e+07
"1","1","3",20,5,"2",5,108.9,3,1,2,14,"1","3","4",3,"3",13547.09,45,6.6e+07
"1","1","1",1,4,"3",3,79.2,2,1,1,8,"1","3","4",3,"5",11979.57111,67,1.8e+07
"1","1","2",1,3,"1",4,36.3,2,1,1,4,"1","1","4",3,"1",11758.49,45,2.5e+07
"1","1","2",2,5,"3",5,52.8,2,0,1,6,"1","3","4",3,"3",16354.45238,55,4.2e+07
"1","1","1",2,4,"1",5,69.3,2,1,1,14,"1","1","4",4,"3",4797.42506,55,5.4e+07
"1","1","1",2,4,"1",1,56.1,2,1,1,5,"1","1","4",2,"5",8092.244347,67,1.2e+07
"1","1","1",1,5,"2",2,75.9,4,1,1,6,"1","3","4",5,"1",15393.24464,35,2.5e+07
"1","1","1",1,5,"2",2,42.9,2,1,1,3,"1","1","4",5,"1",11431.52,55,5.4e+07
"1","1","3",9,3,"2",5,108.9,3,1,2,5,"1","2","4",2,"4",8193.036982,67,2.5e+07
"1","1","3",7,5,"3",3,59.4,2,1,1,8,"1","1","4",1,"2",4515.31549,55,1.8e+07
"1","1","3",1,5,"2",4,105.6,3,1,2,12,"1","3","4",3,"1",20515.01,45,4.2e+07
"1","1","2",3,5,"3",4,56.1,2,1,1,4,"1","3","4",4,"3",13790.68,55,2.5e+07
"1","1","2",2,5,"2",4,85.8,3,1,1,6,"1","3","4",4,"1",15463.30564,35,2.5e+07
"1","1","2",2,5,"2",3,66,2,1,1,10,"1","2","3",2,"3",7441.927562,67,1.8e+07
"1","1","2",1,5,"2",4,39.6,2,1,1,6,"1","1","4",1,"3",15885.38476,35,2.5e+07
"1","1","1",1,6,"1",3,66,2,1,1,12,"2","3","3",4,"1",10622.7,55,5.4e+07
"1","1","2",1,5,"3",4,92.4,3,1,2,10,"1","3","5",4,"3",13568.33,45,2.5e+07
"1","1","1",0,4,"2",4,66,2,1,1,10,"1","3","4",4,"1",16588.38605,35,1.8e+07
"1","1","1",1,5,"2",4,112.2,3,1,1,10,"1","3","4",4,"3",13645.21,35,6.6e+07
"1","1","3",15,2,"2",5,82.5,3,1,1,10,"1","3","4",2,"1",2467.641438,35,7.8e+07
"1","1","2",2,4,"1",4,105.6,3,1,1,10,"1","3","3",5,"1",9587.52,55,5.4e+07
"1","1","1",1,6,"4",1,39.6,2,0,1,6,"5","1","3",1,"5",28670.31,67,1.2e+07
"1","1","1",1,6,"3",1,56.1,2,1,1,6,"5","1","3",1,"5",12233.02,67,1.2e+07
"1","1","1",1,6,"4",1,85.8,3,0,1,6,"2","1","3",1,"5",13461.62,67,1.2e+07
"1","1","1",1,6,"4",1,52.8,2,1,1,8,"5","1","3",2,"5",29289.41,67,1.8e+07
"1","1","1",1,6,"4",1,59.4,3,1,1,8,"5","1","3",2,"2",18951.99,67,1.2e+07
"1","1","1",1,6,"4",1,132,3,1,1,6,"5","3","3",3,"1",21661.6,55,4.2e+07
"1","1","2",2,5,"2",4,75.9,3,1,1,10,"1","1","4",5,"3",13287.25,45,5.4e+07
"1","1","3",4,3,"2",5,108.9,3,1,2,10,"1","3","4",4,"3",11024.97,45,9.6e+07
"1","1","3",11,2,"2",5,102.3,3,1,2,20,"1","3","4",4,"1",10758.4,35,6.6e+07
"1","1","1",1,6,"2",3,39.6,2,1,1,4,"1","3","4",2,"1",14513.87,55,5.4e+07
"1","1","1",0,2,"3",3,49.5,2,1,1,8,"1","1","4",2,"4",5095.54,67,1.8e+07
"1","1","2",2,5,"4",4,82.5,3,1,1,12,"1","3","4",3,"1",6832.98,55,5.4e+07
"1","1","3",10,3,"2",5,92.4,3,1,2,7,"1","3","4",3,"3",14155.42,55,5.4e+07
"1","1","2",4,4,"1",6,99,3,1,2,10,"1","3","4",2,"1",10963.72009,35,2.5e+07
"1","1","3",6,4,"1",5,92.4,3,1,1,8,"1","3","4",4,"1",10606.4,35,7.8e+07
"1","1","3",3,2,"2",4,56.1,2,1,1,4,"3","3","4",4,"3",9490.423701,35,4.2e+07
"1","1","3",13,4,"1",5,108.9,3,1,2,10,"3","1","4",3,"3",12540.46881,55,5.4e+07
"1","1","3",13,2,"1",4,59.4,2,1,1,10,"1","1","4",4,"1",10315.67,67,6.6e+07
"1","1","3",15,5,"1",4,59.4,2,1,1,3,"1","1","4",3,"1",8867.92,67,4.2e+07
"1","1","2",4,4,"2",4,85.8,3,1,1,8,"1","3","4",3,"1",6256.96,55,5.4e+07
"1","1","3",18,4,"2",4,125.4,4,1,2,22,"1","3","4",3,"1",11018.48,55,7.8e+07
"1","1","1",3,5,"1",4,115.5,3,1,2,12,"1","3","4",4,"1",9353.66,55,6.6e+07
"1","1","3",5,2,"1",4,82.5,3,1,1,7,"1","1","4",1,"5",9639.45,55,1.8e+07
"1","1","3",13,2,"2",4,82.5,3,1,1,10,"1","1","4",4,"1",8724.38,55,5.4e+07
"1","1","3",9,4,"1",4,138.6,3,1,2,12,"1","3","4",5,"1",12339.79,67,5.4e+07
"1","1","3",6,3,"1",5,118.8,3,1,2,10,"1","3","4",4,"1",22813.59,55,9e+07
"1","1","3",6,2,"1",4,118.8,3,1,2,10,"1","3","4",4,"3",8214.82,55,4.2e+07
"1","1","3",13,2,"1",5,108.9,3,1,2,14,"3","3","4",4,"1",8456.857497,45,6.6e+07
"1","1","3",14,2,"1",4,85.8,2,1,1,8,"3","1","4",6,"1",6582.817928,45,7.8e+07
"1","1","3",5,3,"2",4,85.8,2,1,1,7,"3","3","4",3,"1",11998.45955,35,2.5e+07
"1","1","3",17,4,"3",5,108.9,3,1,2,14,"1","3","4",4,"3",17278.97,67,9.6e+07
"1","1","3",7,2,"2",5,155.1,4,1,2,18,"1","3","4",4,"1",11177.62,45,9e+07
"1","1","3",7,2,"3",4,82.5,3,1,1,8,"3","1","4",3,"1",9919.558084,45,6.6e+07
"1","1","3",9,4,"3",5,108.9,3,1,2,18,"1","3","4",4,"4",8716.57,67,7.8e+07
"1","1","3",6,3,"1",4,59.4,2,1,1,3,"1","3","4",1,"5",3228.77,67,1.8e+07
"1","1","3",1,5,"3",4,72.6,2,1,1,3,"3","1","4",4,"1",4456.756038,55,4.2e+07
"1","1","3",2,5,"3",3,39.6,1,0,1,1,"2","1","3",1,"5",9910.3,67,1.2e+07
"1","1","1",1,5,"1",3,39.6,2,0,1,0,"5","1","3",2,"5",14133.45,67,1.2e+07
"1","1","1",1,5,"3",3,33,2,0,1,0,"5","1","3",2,"2",13829.46,67,1.2e+07
"1","1","1",1,6,"3",1,33,2,0,1,2,"1","1","3",2,"2",4746.72,67,1.8e+07
"1","1","1",1,6,"1",1,33,2,0,1,1,"5","1","3",1,"5",23122.51,67,1.2e+07
"1","1","1",1,6,"3",1,36.3,2,0,1,2,"5","1","3",2,"2",27839.78,67,1.8e+07
"1","1","1",1,6,"3",1,36.3,2,0,1,2,"5","1","3",2,"2",18101.18,67,1.8e+07
"1","1","1",1,6,"3",3,29.7,1,0,1,1,"2","1","3",1,"5",11367.42,67,1.2e+07
"1","1","1",1,5,"3",3,39.6,2,0,1,1,"5","1","3",2,"5",17446.84,67,1.2e+07
"1","1","1",1,6,"3",2,118.8,4,1,1,6,"1","3","4",3,"3",18020.26,35,6.6e+07
"1","1","2",1,6,"2",4,99,3,1,2,5,"1","3","4",4,"3",18713.09397,55,5.4e+07
"1","1","1",2,4,"1",4,99,3,1,1,15,"1","1","4",4,"1",5212.601666,45,4.2e+07
"1","1","2",5,5,"1",6,99,3,1,1,4,"1","3","4",4,"1",6609.122156,35,5.4e+07
"1","1","3",3,4,"4",4,79.2,3,1,2,6,"1","3","4",5,"3",9117.512792,45,9.6e+07
"1","1","2",1,6,"1",3,82.5,3,1,1,16,"1","3","4",4,"1",12789.32551,45,4.2e+07
"1","1","1",1,5,"3",5,59.4,2,1,1,4,"1","3","4",4,"1",9031.530084,45,5.4e+07
"1","1","2",2,2,"1",5,125.4,3,1,2,6,"1","3","4",4,"1",14513.62,45,4.2e+07
"1","1","3",19,2,"4",4,75.9,3,1,1,4,"1","2","4",4,"1",18644.78176,35,6.6e+07
"1","1","3",2,4,"4",4,108.9,3,1,2,10,"1","1","4",4,"1",26473.03,45,6.6e+07
"1","1","1",3,4,"3",5,92.4,3,1,1,8,"1","1","4",4,"1",11252.88,35,6.6e+07
"1","1","3",7,2,"1",4,82.5,2,1,1,8,"1","1","4",2,"1",7165.354706,35,4.2e+07
"1","1","1",1,5,"1",3,92.4,3,1,1,10,"1","3","4",3,"5",7798.29,67,1.8e+07
"1","1","3",15,5,"2",5,112.2,3,1,2,11,"3","3","4",3,"1",11332.66478,45,6.6e+07
"1","1","3",4,3,"1",5,112.2,3,1,2,16,"3","3","4",4,"1",3676.55,45,6.6e+07
"1","1","3",3,4,"3",5,79.2,3,1,1,4,"1","3","4",5,"1",14769.43,55,4.2e+07
"1","1","1",1,6,"2",3,66,2,1,1,8,"1","3","4",5,"1",12231.74737,45,5.4e+07
"1","1","3",3,3,"2",6,95.7,3,1,2,18,"1","3","4",4,"1",24813.66,45,6.6e+07
"1","1","2",3,5,"3",3,49.5,2,1,1,3,"1","3","4",5,"1",8701.81,45,5.4e+07
"1","1","1",2,3,"2",3,59.4,2,1,1,3,"1","3","4",3,"1",12351.31508,55,2.5e+07
"1","1","3",12,2,"2",5,79.2,3,1,1,8,"1","3","4",4,"1",14189.73,45,2.5e+07
"1","1","2",1,5,"1",1,59.4,2,1,1,6,"1","3","4",3,"1",12303.17698,45,2.5e+07
"1","1","3",6,2,"2",5,108.9,3,1,2,11,"1","3","4",3,"1",18000.69,45,6.6e+07
"1","1","3",9,3,"3",5,112.2,3,1,2,14,"1","3","4",2,"3",5911.664182,67,2.5e+07
"1","1","3",1,3,"1",5,115.5,3,1,2,8,"1","3","4",2,"1",14359.37426,55,4.2e+07
"1","1","3",2,2,"1",5,102.3,3,1,2,14,"1","3","4",4,"3",2846.607594,55,5.4e+07
"1","1","3",8,2,"2",5,72.6,2,1,1,8,"3","1","4",4,"1",10733.25524,35,5.4e+07
"1","1","3",4,4,"3",5,148.5,3,1,2,16,"3","3","4",5,"3",12452.64767,45,6.6e+07
"1","1","3",11,2,"1",5,108.9,3,1,2,14,"3","3","5",4,"1",14780.64534,45,6.6e+07
"1","1","3",15,5,"4",5,49.5,2,1,1,4,"1","1","4",2,"3",12292.03,45,5.4e+07
"1","1","2",2,2,"3",5,82.5,2,1,1,18,"1","3","4",4,"1",24483.9,45,6.6e+07
"1","1","3",3,4,"2",4,115.5,3,1,1,13,"3","3","4",4,"1",9108.6,45,9.6e+07
"1","1","3",2,2,"2",3,66,2,1,1,5,"3","3","4",2,"1",6309.43,45,4.2e+07
"1","1","3",6,2,"3",3,85.8,2,1,1,10,"3","3","4",4,"1",5023.206161,35,9e+07
"1","1","3",8,2,"2",5,108.9,3,1,2,10,"3","3","4",4,"1",5877.694987,45,9.6e+07
"1","1","1",1,5,"2",4,39.6,2,1,1,3,"1","1","4",2,"3",6947.764603,55,2.5e+07
"1","1","2",3,3,"1",5,56.1,2,1,1,4,"1","3","4",3,"1",10778.5967,35,6.6e+07
"1","1","1",2,5,"1",3,82.5,2,1,1,10,"1","3","4",4,"3",10537.68848,45,4.2e+07
"1","1","3",10,3,"2",4,115.5,4,1,2,12,"3","1","4",4,"3",4583.839863,67,2.5e+07
"1","1","3",1,2,"3",3,66,2,1,1,8,"3","3","4",3,"1",5376.986499,55,4.2e+07
"1","1","3",6,3,"1",4,75.9,2,1,1,10,"3","3","4",4,"1",8729.126409,45,7.8e+07
"1","1","3",14,3,"4",4,56.1,2,0,1,7,"3","3","4",3,"1",5924.03,35,4.2e+07
"1","1","3",4,2,"2",3,89.1,3,1,1,12,"3","3","4",4,"1",10638.63381,45,5.4e+07
"1","1","3",11,2,"2",5,108.9,3,1,2,12,"1","3","4",4,"1",12576.34,45,9.6e+07
"1","1","2",2,5,"2",5,82.5,3,1,1,8,"1","3","4",4,"3",15703.87,45,2.5e+07
"1","1","3",5,4,"1",5,118.8,3,1,2,14,"1","1","4",5,"3",7756.024905,45,2.5e+07
"1","1","3",10,3,"1",4,102.3,3,1,2,14,"1","3","4",4,"5",18709.66,55,6.6e+07
"1","1","2",4,5,"1",5,102.3,3,1,1,10,"1","1","4",3,"1",14166.4,55,6.6e+07
"1","1","2",5,4,"2",5,132,3,1,2,10,"1","3","4",5,"1",15063.63,67,4.2e+07
"1","1","2",4,2,"1",5,112.2,3,1,2,4,"1","3","4",4,"3",19070.23,45,5.4e+07
"1","1","3",4,2,"1",4,66,2,1,1,4,"1","3","4",2,"1",6244.2,35,4.2e+07
"1","1","2",1,4,"3",5,69.3,2,1,1,6,"1","3","4",1,"4",6747.630952,55,1.8e+07
"1","1","3",2,4,"2",3,82.5,3,1,1,8,"1","3","4",4,"1",20300.6,35,4.2e+07
"1","1","2",2,5,"2",5,49.5,2,1,1,3,"1","3","4",4,"3",11525.91,45,6.6e+07
"1","1","1",2,4,"1",5,82.5,3,1,1,12,"1","3","4",4,"3",8214.07,67,9.6e+07
